1,Renee,Mixed,Cheap,Chelsea,09:00,23:00,3.2,TRUE
2,Royce,Spanish,Expensive,TriBeCa,10:00,19:00,3.2,FALSE
3,Rosalind,Mexican,Cheap,Midtown,09:00,22:00,4.5,TRUE
4,Garry,African,Expensive,Harlem,09:00,23:00,2.5,TRUE
5,Estelle,African,Cheap,Gramercy Park,08:00,22:00,3.7,FALSE
6,Brnaby,Chinese,Expensive,SoHo,10:00,22:00,4.4,FALSE
7,Guthrey,French,Cheap,Midtown,09:00,18:00,2.9,FALSE
8,Pandora,Chinese,Medium,Inwood,09:00,19:00,3.1,FALSE
9,Risa,Mixed,Medium,Battery Park City,08:00,22:00,4.2,FALSE
10,Billy,Mixed,Expensive,Washington Heights,06:00,23:00,4.1,TRUE
11,Marika,Italian,Cheap,Greenwich Village,08:00,18:00,4.7,FALSE
12,Dilan,African,Medium,TriBeCa,07:00,21:00,2.0,FALSE
13,Clary,Mexican,Medium,Washington Heights,11:00,16:00,3.7,TRUE
14,Audy,Mixed,Medium,Harlem,09:00,18:00,2.8,FALSE
15,Hesther,Italian,Expensive,Greenwich Village,11:00,16:00,4.3,TRUE
16,Kettie,Japanese,Cheap,Gramercy Park,10:00,21:00,4.4,TRUE
17,Nick,African,Cheap,Greenwich Village,06:00,22:00,2.7,FALSE
18,Lulu,American,Expensive,Inwood,06:00,22:00,3.6,FALSE
19,Shurlocke,French,Medium,Midtown,07:00,20:00,2.8,TRUE
20,Hana,African,Cheap,Morningside Heights,11:00,23:00,2.1,TRUE
21,Kayle,Chinese,Expensive,West Village,07:00,23:00,2.7,TRUE
22,Kimberley,Chinese,Expensive,Harlem,11:00,21:00,4.7,FALSE
23,Erika,Japanese,Medium,Gramercy Park,06:00,19:00,2.6,TRUE
24,Hurley,Mixed,Medium,West Village,10:00,17:00,3.9,FALSE
25,Caryl,Japanese,Expensive,Inwood,06:00,23:00,2.8,TRUE
26,Granny,Japanese,Medium,Murray Hill,07:00,17:00,3.2,FALSE
27,Cherri,Japanese,Medium,Inwood,08:00,19:00,3.5,FALSE
28,Brinn,French,Expensive,Central Harlem,07:00,21:00,4.0,TRUE
